"Severity","ThreadID","Date","Time","Application","Message"
"ERROR","web-0","07/07/2009","00:28","","Page /pool/ladder.cfm [/srv/www/stats.hpdp.org.au/wwwroot/pool/ladder.cfm] not found"
"ERROR","web-0","07/07/2009","00:40","","Page /pool/ladder.cfm [/srv/www/stats.hpdp.org.au/wwwroot/pool/ladder.cfm] not found"
"ERROR","web-0","07/07/2009","00:41","","variable [TEST] doesn't exist"
"ERROR","web-0","07/07/2009","00:42","","variable [TEST] doesn't exist"
"ERROR","web-0","07/07/2009","01:11","","variable [TEST] doesn't exist"
"ERROR","web-0","07/07/2009","01:16","","variable [TEST] doesn't exist"
"ERROR","web-0","07/13/2009","12:43","","/srv/www/stats.hpdp.org.au/wwwroot/backup.cfm (Permission denied)"
"ERROR","web-0","07/13/2009","12:45","","/srv/www/stats.hpdp.org.au/wwwroot/backup.cfm (Permission denied)"
"ERROR","web-0","07/13/2009","12:45","","/srv/www/stats.hpdp.org.au/wwwroot/backup.cfm (Permission denied)"
"ERROR","web-0","07/13/2009","12:47","","/srv/www/stats.hpdp.org.au/wwwroot/backup.cfm (Permission denied)"
"ERROR","web-0","07/13/2009","12:47","","/srv/www/stats.hpdp.org.au/wwwroot/backup.cfm (Permission denied)"
"ERROR","web-0","07/13/2009","12:47","","/srv/www/stats.hpdp.org.au/wwwroot/backup.cfm (Permission denied)"
"ERROR","web-0","07/13/2009","12:49","","/srv/www/stats.hpdp.org.au/wwwroot/backup.cfm (Permission denied)"
"ERROR","web-0","07/16/2009","15:30","","org.apache.catalina.connector.ClientAbortException"
"ERROR","web-0","07/30/2009","21:12","","org.apache.catalina.connector.ClientAbortException"
"ERROR","web-0","08/13/2009","16:49","","org.apache.catalina.connector.ClientAbortException"
"ERROR","web-0","08/26/2009","15:38","","invalid variable declaration [6]"
"ERROR","web-0","08/26/2009","15:41","","invalid variable declaration [1]"
"ERROR","web-0","08/26/2009","15:42","","invalid variable declaration [1]"
"ERROR","web-0","09/06/2009","12:10","","org.apache.catalina.connector.ClientAbortException"
"ERROR","web-0","09/24/2009","14:27","","invalid variable declaration [6]"
"ERROR","web-0","10/10/2009","19:36","","invalid variable declaration [6]"
"ERROR","web-0","10/17/2009","08:50","","org.apache.catalina.connector.ClientAbortException"
"ERROR","web-0","10/31/2009","08:01","","org.apache.catalina.connector.ClientAbortException"
"ERROR","web-0","11/04/2009","22:55","","invalid variable declaration [1]"
"ERROR","web-0","11/04/2009","22:55","","invalid variable declaration [2]"
"ERROR","web-0","11/04/2009","22:56","","invalid variable declaration [3]"
"ERROR","web-0","11/17/2009","19:36","","org.apache.catalina.connector.ClientAbortException"
"ERROR","web-0","12/01/2009","17:45","","org.apache.catalina.connector.ClientAbortException"
"ERROR","web-0","01/11/2010","23:06","","can't cast [] to date value"
"ERROR","web-0","06/09/2010","23:22","","Page /admin.cfm [/srv/www/stats.hpdp.org.au/wwwroot/admin.cfm] not found"
"ERROR","web-0","06/24/2010","12:19","","Unknown column 'rfnmiwbrmdwq' in 'where clause'"
"ERROR","web-0","06/24/2010","20:55","","Unknown column 'rfnmiwbrmdwq' in 'where clause'"
"ERROR","web-0","06/25/2010","02:52","","Unknown column 'rfnmiwbrmdwq' in 'where clause'"
"ERROR","web-0","06/25/2010","09:21","","Unknown column 'rfnmiwbrmdwq' in 'where clause'"
"ERROR","web-0","06/25/2010","11:46","","Unknown column 'osrgptajgubyrn' in 'where clause'"
"ERROR","web-0","06/25/2010","22:18","","Unknown column 'osrgptajgubyrn' in 'where clause'"
"ERROR","web-0","06/26/2010","11:24","","Unknown column 'osrgptajgubyrn' in 'where clause'"
"ERROR","web-0","06/26/2010","12:29","","Unknown column 'vhesxfhfftwwu' in 'where clause'"
"ERROR","web-0","06/26/2010","23:19","","Unknown column 'vhesxfhfftwwu' in 'where clause'"
"ERROR","web-0","06/27/2010","05:54","","Unknown column 'vhesxfhfftwwu' in 'where clause'"
"ERROR","web-0","06/27/2010","11:11","","Unknown column 'pcxcayljvpijlssi' in 'where clause'"
"ERROR","web-0","06/27/2010","18:56","","Unknown column 'pcxcayljvpijlssi' in 'where clause'"
"ERROR","web-0","06/28/2010","07:33","","Unknown column 'pcxcayljvpijlssi' in 'where clause'"
"ERROR","web-0","06/28/2010","10:47","","Unknown column 'xpzpmoqpbjrcghwx' in 'where clause'"
"ERROR","web-0","06/28/2010","20:14","","Unknown column 'xpzpmoqpbjrcghwx' in 'where clause'"
"ERROR","web-0","06/29/2010","02:14","","Unknown column 'xpzpmoqpbjrcghwx' in 'where clause'"
"ERROR","web-0","09/09/2010","17:50","","org.apache.catalina.connector.ClientAbortException"
"ERROR","web-0","09/09/2010","17:50","","org.apache.catalina.connector.ClientAbortException"
"ERROR","web-0","10/01/2010","20:31","","org.apache.catalina.connector.ClientAbortException"
"ERROR","web-0","10/20/2010","12:40","","invalid variable declaration [1]"
